lat,lon,froce_cyclone,ventricité
-37.8125,16.8125,4.967889285036684e-07,2.4176061222764367e-05
-39.0625,21.3125,8.411669820211973e-07,3.0330247864347434e-05
-39.8125,-49.1875,4.740654849205116e-07,1.5190550918239089e-05
-35.0625,155.5625,6.987416872486023e-07,2.7299815462461063e-05
35.4375,145.8125,8.310793827684718e-07,-2.6650055574645516e-05
-42.3125,21.5625,7.703086326149768e-07,3.4538896556185074e-05
39.5625,-63.6875,2.1709086942727865e-07,-2.8931673641037396e-05
-40.1875,12.3125,4.1411656300136794e-07,2.141907211644072e-05
-40.3125,48.1875,1.4757520622730103e-07,1.2095395977216801e-05
-42.8125,-53.5625,2.7977159458536216e-07,1.8283669743249576e-05
-40.0625,41.0625,2.7381600874008844e-07,1.0629203407447155e-05
37.0625,150.3125,2.606212974101293e-07,-2.5570190368775554e-05
-56.0625,-54.3125,4.7032391935298665e-07,1.8096306425165235e-05
-35.4375,11.3125,6.678845333590908e-07,3.044688615583824e-05
-41.0625,151.5625,6.12570959130563e-07,3.312265886364801e-05
36.3125,161.8125,2.729533725373814e-07,-1.6638519895899347e-05
-38.6875,27.8125,3.881881031174821e-07,2.3130500482030314e-05
-35.8125,152.1875,5.728294361674117e-07,2.3165715574015602e-05
-27.1875,40.8125,1.6962016042806616e-07,1.8103331077591292e-05
-43.6875,-36.5625,2.70806657868334e-07,1.1232871699920976e-05
37.5625,154.3125,4.584708515776412e-07,-2.5560340022033363e-05
38.3125,-67.0625,5.498327605820578e-07,-5.6676070932878336e-05
-41.0625,46.0625,7.58270721382005e-07,2.0434249468773162e-05
38.0625,168.9375,4.749313059159777e-07,-1.771366796153308e-05
-46.5625,-52.1875,2.7791786714465166e-07,2.1496444111673044e-05
-43.5625,61.4375,1.559404272251377e-07,2.1083194054654247e-05
-38.0625,32.5625,8.706082013829552e-07,2.8227901248429638e-05
40.5625,-47.9375,2.7921897970876375e-07,-1.637205186221246e-05
51.3125,-171.3125,2.405028211412659e-07,-2.6314204437088656e-05
-55.5625,153.4375,9.736180038927853e-07,3.678348751484341e-05
-41.8125,-40.3125,3.2956782376092564e-07,2.110503076533396e-05
-38.8125,-37.8125,3.351341888450098e-07,1.0330249290182834e-05
-21.9375,38.9375,2.913659939824131e-07,2.322064480858966e-05
37.5625,-70.6875,5.4499632398963e-07,-5.033461213814934e-05
26.5625,-91.3125,1.8556104486386344e-07,-2.4390584676794117e-05
45.3125,-65.0625,5.663968687175557e-07,-4.158015174727934e-05
-52.4375,152.1875,3.2087309934914815e-07,1.429458151796181e-05
-45.8125,-43.0625,9.632034301900368e-07,3.5313919960304325e-05
-31.8125,37.9375,4.828021994275032e-07,2.2857715287952554e-05
-57.1875,159.5625,6.556835154144139e-07,2.9982817012909033e-05
-43.3125,153.9375,8.505615528413106e-07,4.4726469955175244e-05
-58.0625,168.8125,2.767440863258166e-07,1.0142200225249834e-05
-35.3125,160.3125,6.693064807065228e-07,2.5550043899710545e-05
33.8125,157.9375,2.6317306208897434e-07,-1.6601206586461946e-05
34.8125,165.8125,3.8748393391043993e-07,-1.2759274728843066e-05
-57.5625,172.8125,7.043977321903171e-07,2.8299935270465022e-05
-33.5625,162.4375,4.0849200845534835e-07,1.8609625381991805e-05
41.4375,-51.5625,1.253941829985145e-06,-3.641351417793487e-05
-41.5625,65.8125,3.974864191265095e-07,1.1907592242672594e-05
34.0625,167.8125,4.077332096964835e-07,-1.2924694487780508e-05
39.4375,-54.6875,2.7439559333546996e-07,-1.9044411246567432e-05
-32.3125,158.8125,2.621685888016203e-07,1.1971931819723317e-05
-47.4375,158.8125,5.446584327760869e-07,2.2593922022762632e-05
-18.5625,40.1875,2.1308728047282466e-07,2.2911399275559197e-05
-40.0625,36.5625,1.2845336557415418e-07,2.284867095349642e-05
-36.8125,157.4375,6.229141611681648e-07,2.9641708445547414e-05
-48.6875,-49.4375,2.9558119035544296e-07,2.4367935774857056e-05
34.1875,156.1875,2.616046046821255e-07,-1.2435873459100438e-05
49.1875,176.9375,1.0852222678848666e-07,-1.245021939423851e-05
-35.4375,23.9375,2.984099895322622e-07,3.52157638340888e-05
-41.3125,55.0625,3.32183916860662e-07,2.115539484489971e-05
-50.3125,-168.9375,3.6402315747198896e-07,1.6757870631069445e-05
-28.1875,34.3125,2.9170406917678153e-07,2.2853768230046624e-05
13.1875,82.6875,6.650500370845076e-08,-1.00143000822235e-05
-26.3125,51.0625,1.1165232020839269e-07,1.5156532917972731e-05
33.1875,138.3125,3.10148746925554e-07,-2.9239594655078948e-05
38.3125,158.1875,1.6444397108995695e-07,-2.6054358188001616e-05
-43.1875,74.8125,3.778106709791835e-07,1.1990551413340294e-05
-47.8125,26.1875,5.745236866107283e-07,2.4905604249928257e-05
23.5625,-93.4375,1.5488227101846159e-07,-1.8466989380785228e-05
-56.3125,176.3125,9.026249755231876e-07,4.497682217024608e-05
17.0625,85.8125,9.621517998268374e-08,-8.835356624631575e-06
-54.4375,83.9375,1.4491030488165646e-06,4.976643132566554e-05
-59.9375,-67.5625,6.721772307329027e-07,1.8666758463432353e-05
-48.6875,-35.9375,8.200359055598634e-07,3.236584889727332e-05
39.6875,151.8125,9.625489681261413e-07,-3.0541353272818e-05
-49.8125,-161.6875,5.75747962115395e-08,1.1592997797062575e-05
-49.3125,-173.3125,3.207297968715306e-07,1.1767276095476527e-05
-50.4375,34.3125,3.47573057105615e-07,1.5844455374720363e-05
-33.9375,113.0625,5.096640756627708e-07,2.7657606164811433e-05
