lat,lon,froce_cyclone,ventricité
37.6875,-64.0625,2.5239758464919705e-07,3.47518603400298e-05
30.1875,136.5625,8.391798522707289e-07,4.5256531146899265e-05
38.9375,-49.5625,1.5335367080180149e-06,7.145665260691947e-05
38.3125,-60.0625,7.586479442439184e-07,2.8962705622447586e-05
26.9375,132.6875,9.172856676123478e-07,4.157110450225112e-05
32.3125,134.6875,6.058249761493475e-07,5.036111216481455e-05
34.3125,143.4375,2.5967621134147814e-06,8.29845433103152e-05
-38.0625,44.4375,4.3000334916120475e-07,-2.5044868272237515e-05
36.0625,148.4375,8.247531393899151e-07,5.9610131886324283e-05
37.5625,-68.6875,5.678182432218514e-07,7.696764573029313e-05
40.1875,-56.6875,1.162149751473185e-06,3.7552658182457086e-05
-34.0625,153.4375,7.128538680193091e-07,-3.8111507376286196e-05
-36.9375,25.6875,1.7005369987811842e-06,-7.320242684557732e-05
-38.4375,-47.5625,3.210732495288968e-07,-2.7926998213041363e-05
-37.3125,39.6875,8.542456551677479e-07,-5.231040892731464e-05
39.6875,-52.4375,6.304747677743708e-07,3.869114925801371e-05
37.8125,-46.0625,3.203744276061116e-07,2.956817065776824e-05
-40.3125,18.0625,5.347742968339205e-07,-3.2904704457408716e-05
-43.8125,78.4375,6.794263134189769e-07,-2.7677809904741342e-05
33.1875,161.1875,5.607485870501486e-07,2.3340530053119862e-05
-38.4375,14.4375,6.676067614368126e-07,-3.0289243520172076e-05
-38.8125,30.8125,5.101495314580045e-07,-2.7785471906230685e-05
-40.8125,63.3125,5.878965032369669e-07,-2.0230200300539e-05
46.1875,-38.3125,2.089619465096006e-07,2.2104443458394643e-05
-47.8125,-32.3125,7.126357240833356e-07,-2.3817300152760572e-05
-39.6875,34.4375,4.453138112028421e-07,-2.4209911954431043e-05
-51.3125,83.5625,7.411328070036132e-07,-3.689946304765109e-05
-54.0625,154.8125,1.0392458935396374e-06,-3.803364340683003e-05
35.4375,157.6875,7.455192789590151e-07,2.1322516928123624e-05
23.6875,-84.0625,7.403825525306329e-07,4.574010566571717e-05
-39.1875,23.4375,6.20141373940135e-07,-5.198059164521622e-05
-33.6875,30.6875,7.858318111776989e-07,-3.059565178818968e-05
-53.4375,85.5625,7.68703604876427e-07,-2.719052567487871e-05
-44.9375,-33.0625,8.090646962053773e-07,-3.308230287536215e-05
42.8125,-42.8125,4.439597502263257e-07,2.3555272663295934e-05
30.5625,-77.4375,1.0410621567979057e-06,5.9078600994391236e-05
-43.5625,-39.8125,8.081834085115013e-07,-3.2359053321651286e-05
34.1875,-72.9375,4.7222663416388945e-07,3.479713742907924e-05
33.9375,-63.6875,4.585577021281849e-07,4.488092821766426e-05
-37.1875,47.5625,9.771079373878115e-08,-2.417675278398892e-05
-35.9375,28.3125,1.0449707070374237e-06,-3.328538024217972e-05
-49.4375,127.5625,1.9808258183583867e-07,-1.4794651160725613e-05
-41.9375,-33.8125,6.770561962428582e-07,-2.0387291201147342e-05
-41.8125,52.6875,2.874861973286627e-07,-1.3270683005314832e-05
35.3125,-61.8125,7.166731843506209e-07,4.138383153872509e-05
-42.0625,-48.6875,8.775856642084991e-07,-3.061735335005472e-05
-48.9375,-37.5625,1.050898222474746e-06,-4.61403857334732e-05
35.3125,152.9375,7.492865391251423e-07,1.8882783121563223e-05
-58.3125,-65.4375,5.796235858327478e-08,-2.6767890898836274e-05
-36.4375,32.1875,2.1387531538775634e-06,-7.141894113931863e-05
-53.0625,-148.8125,2.0035597377017964e-07,-1.622863161952358e-05
34.8125,-68.6875,4.506940910087256e-07,2.3267457890240995e-05
-49.3125,131.8125,7.251141628850425e-07,-2.8606737837395857e-05
-39.9375,-32.6875,3.1562988541998655e-07,-2.9911294759834168e-05
-35.9375,17.0625,5.012457636522605e-07,-3.231617838538599e-05
-39.1875,56.5625,7.059061755676622e-07,-2.7630548644835385e-05
-38.6875,53.5625,2.69927652713843e-07,-2.3374585810656552e-05
-50.9375,79.8125,8.943929100893833e-07,-4.9889563842199475e-05
-52.9375,-141.6875,2.061761203793906e-06,-4.64386169100751e-05
-39.8125,-42.3125,3.9516728006899035e-07,-1.5605503882300763e-05
49.8125,-41.6875,1.043841527277347e-06,3.654095209320213e-05
-55.5625,-135.5625,1.8068866848080953e-06,-5.5625974410272234e-05
-47.1875,-36.1875,2.0011002159965536e-06,-4.533477057940734e-05
-50.4375,90.1875,1.6144260039045083e-06,-5.937216201762853e-05
-51.8125,96.8125,2.933079546334944e-07,-2.0724320380800154e-05
-45.9375,-29.8125,2.083846252631534e-07,-1.3736313605358145e-05
-25.8125,36.4375,7.386861650670013e-07,-5.0445085864266024e-05
-29.0625,38.5625,5.389609632958382e-07,-1.8690005349011143e-05
30.8125,131.8125,3.8949890053855453e-07,4.748387719608181e-05
-49.8125,28.5625,7.487712525818018e-07,-2.717755403465784e-05
36.3125,-55.6875,3.263573979607809e-07,1.7021857242127742e-05
-37.6875,151.5625,8.050877386225537e-07,-2.3138843408166943e-05
-46.9375,116.8125,1.1079974797142718e-06,-3.6061269776376035e-05
-39.8125,-51.9375,1.1262463227640871e-07,-1.7872590732397668e-05
32.0625,-75.1875,6.205772903014682e-07,4.100918261998257e-05
-37.8125,19.4375,4.5330331333684347e-07,-2.5707921610281915e-05
-47.0625,-3.4375,9.866835407777247e-07,-3.432547725953353e-05
30.4375,142.8125,2.6896520515053033e-07,1.6584968348583017e-05
-51.1875,93.4375,9.344995747905152e-07,-3.671157629048072e-05
-41.0625,56.6875,6.291615319005618e-07,-3.270207003695808e-05
-50.5625,87.6875,9.81123162770419e-07,-5.970556759320857e-05
-47.9375,-25.5625,2.1130275391293087e-07,-9.941655520955514e-06
-48.1875,24.3125,5.468911584944967e-07,-2.385370756860295e-05
36.3125,167.3125,4.717622018970822e-07,2.5412965067637586e-05
-48.0625,-52.0625,4.6965909909032754e-07,-2.6249793596273114e-05
31.4375,-71.8125,2.6699934814327114e-07,1.5660730343533784e-05
-50.6875,123.8125,7.440539639253568e-07,-2.1535010379298613e-05
-46.1875,82.1875,7.528822926041423e-07,-3.654448494042749e-05
-59.3125,-70.5625,1.0894057496184726e-06,-4.129297350671323e-05
-58.6875,-124.1875,3.863535028571488e-07,-3.46457902127527e-05
35.9375,173.8125,4.884357974945537e-07,1.7945712423570856e-05
-56.3125,174.6875,6.152137496429686e-07,-1.9753989005508764e-05
-53.6875,147.8125,5.580617064986835e-07,-2.7640561973557414e-05
-41.1875,15.4375,8.538041659040086e-07,-2.1906930959598616e-05
36.6875,165.8125,6.721435628343641e-07,2.1116704092110274e-05
30.6875,145.9375,7.303556281018709e-07,2.9531962938093906e-05
-56.3125,-108.9375,1.1674291379222899e-06,-2.933961387135789e-05
-60.9375,-114.6875,3.2359317098398183e-07,-1.3671932470520695e-05
39.1875,-41.3125,1.951224552618354e-07,1.1243903014319072e-05
-49.6875,-19.1875,1.468981108031522e-06,-3.823165712968142e-05
25.9375,-88.8125,2.016500360533964e-07,1.6666921531284955e-05
-22.8125,37.3125,6.023263425164774e-07,-2.9617003046623105e-05
-62.6875,-112.0625,6.281526985157847e-07,-1.6934209853162077e-05
47.0625,-41.6875,4.373168805118965e-07,2.68295381383887e-05
-58.6875,-87.8125,7.788591248959968e-07,-2.1357339204741693e-05
34.8125,-47.0625,6.251882739254038e-07,1.9754492321827814e-05
-56.4375,155.4375,1.1148575927442781e-06,-2.7180354640269083e-05
-28.6875,43.5625,6.104230983948264e-07,-1.7671831785551685e-05
-44.0625,70.0625,5.190783324268354e-07,-1.0359329839897235e-05
-45.0625,-4.6875,4.1161011719348855e-07,-2.2186238076325575e-05
-52.8125,88.6875,4.724262120751812e-07,-3.208381527836491e-05
-58.4375,-132.5625,1.4040322445927281e-06,-4.080196100506199e-05
-52.0625,29.5625,1.227609804846585e-07,-2.5691511440416847e-05
29.5625,139.4375,3.8367233077777453e-07,1.7507196924620904e-05
38.0625,-57.5625,1.9579753183269816e-06,6.092837322844084e-05
-58.6875,174.3125,5.80038230868194e-07,-2.943157803874457e-05
-46.9375,110.1875,3.7143921209872947e-07,-1.169844361451845e-05
48.1875,-32.8125,3.4517512083347947e-07,1.0524690232703827e-05
-50.6875,119.9375,1.2731305443632282e-07,-1.8225254529911866e-05
-48.4375,33.9375,6.467340278080714e-07,-2.6090744416112756e-05
-50.9375,32.8125,1.2978330217487542e-06,-3.544133811389443e-05
-62.3125,-73.8125,1.2722000279312592e-06,-2.763931953467778e-05
-48.8125,-44.0625,4.5618097678050125e-07,-2.31367968257944e-05
28.1875,-76.3125,7.198178999339545e-07,3.273216561735553e-05
-59.6875,-96.0625,5.99114102755722e-07,-2.265708587780172e-05
31.6875,170.5625,5.968103577437155e-07,3.7690392600439205e-05
-60.9375,-118.6875,2.982427786835309e-07,-1.4361826683307651e-05
-59.3125,-127.8125,1.2075313542103468e-06,-5.151332229639291e-05
23.0625,151.9375,3.137392795898816e-07,1.9031857561843997e-05
-47.4375,27.9375,4.794988165318282e-07,-1.8696741671969335e-05
-59.3125,-115.3125,9.57258023344282e-07,-2.6123995266386802e-05
44.0625,-38.8125,6.239698952645125e-08,9.078856675952907e-06
-47.6875,113.8125,2.685619551084871e-07,-1.5671143203441756e-05
-56.6875,-52.3125,7.908269195184265e-07,-3.621578766504435e-05
-34.5625,9.3125,3.498960364030907e-07,-2.6534567072399868e-05
49.1875,-38.5625,6.784575306687929e-07,2.966824199360977e-05
18.3125,-158.0625,2.9858148250069467e-07,3.623518648566657e-05
-42.4375,18.3125,1.2583400455289886e-06,-2.8417759405591836e-05
-57.9375,-122.3125,1.3853688707768747e-06,-3.717635449252051e-05
-57.3125,-114.9375,2.7377109438849335e-07,-2.9780118538864078e-05
-60.1875,89.3125,7.483595166762401e-07,-1.866646246131037e-05
-34.3125,158.3125,2.452806639384152e-07,-3.215449334244298e-05
-55.5625,157.6875,2.0438163337637645e-07,-1.59239880666068e-05
-52.5625,-125.4375,1.873602694836304e-06,-3.8667241822752335e-05
-14.4375,93.3125,7.779244129780942e-08,-1.0383622092709926e-05
-58.0625,129.5625,1.3163477658271685e-07,-7.737629817589504e-06
60.8125,-151.4375,1.473950248049676e-06,2.6171960088557694e-05
-59.8125,123.3125,6.194853037952807e-07,-1.9522566436677386e-05
-22.8125,53.4375,1.7813682357533598e-07,-1.779258409183034e-05
-48.6875,135.6875,5.544104711836289e-07,-2.065576482636659e-05
-60.1875,-126.1875,9.85421307570494e-07,-3.5022948589385045e-05
-60.9375,-88.6875,6.394699513124694e-07,-1.8053597769889704e-05
-64.6875,-116.3125,1.9524206223043575e-07,-1.1449454070762083e-05
-48.4375,95.6875,7.919929160211867e-07,-2.981837242074392e-05
-11.4375,93.6875,1.0382981044263134e-07,-1.0414106158273402e-05
29.9375,128.5625,6.314481271012989e-07,2.8406805554062222e-05
31.6875,152.3125,5.695431019555702e-07,1.9430905483395344e-05
-59.1875,-130.3125,8.403513712751163e-07,-2.7117737916578073e-05
-61.6875,-120.6875,8.548280107019468e-07,-2.424548147790102e-05
-25.1875,48.9375,1.0213555573170223e-06,-3.4503769527255175e-05
